35	0	31	0.0104	0.0004	1974
31	0	35	0.0004	0.0104	1974
31	0	52	0.005	0.0055	1978
52	0	31	0.0055	0.005	1978
48	0	31	0.003	0.008	1980
31	0	48	0.008	0.003	1980
52	0	49	0.0139	0.0089	1980
31	0	52	0.008	0.0139	1980
49	0	52	0.0089	0.0139	1980
52	0	31	0.0139	0.008	1980
31	0	48	0.0065	0.0044	1981
52	0	31	0.01	0.0065	1981
48	0	31	0.0044	0.0065	1981
31	0	52	0.0065	0.01	1981
75	0	37	0.001	0.0	1982
37	0	75	0.0	0.001	1982
49	0	48	0.0074	0.0066	1982
48	0	49	0.0066	0.0074	1982
75	0	37	0.0004	0.0	1983
37	0	75	0.0	0.0004	1983
35	0	8	0.0247	0.0022	1983
8	0	35	0.0022	0.0247	1983
35	0	8	0.0246	0.0084	1984
8	0	35	0.0084	0.0246	1984
75	0	37	0.0024	0.0003	1985
26	0	57	0.0027	0.0115	1985
31	0	48	0.0096	0.0116	1985
57	0	26	0.0115	0.0027	1985
48	0	31	0.0116	0.0096	1985
35	0	48	0.0182	0.0116	1985
48	0	35	0.0116	0.0182	1985
37	0	75	0.0003	0.0024	1985
75	0	37	0.0025	0.0002	1986
37	0	75	0.0002	0.0025	1986
37	0	75	0.0003	0.0062	1987
75	0	37	0.0062	0.0003	1987
48	0	35	0.0138	0.0235	1987
52	0	12	0.0247	0.0053	1987
12	0	52	0.0053	0.0247	1987
35	0	48	0.0235	0.0138	1987
13	0	27	0.0053	0.0094	1988
31	0	48	0.0135	0.0202	1988
27	0	49	0.0094	0.0144	1988
13	0	49	0.0053	0.0144	1988
49	0	13	0.0144	0.0053	1988
15	0	49	0.0002	0.0144	1988
35	0	8	0.0341	0.0115	1988
27	0	13	0.0094	0.0053	1988
64	0	47	0.0088	0.0008	1988
49	0	27	0.0144	0.0094	1988
47	0	64	0.0008	0.0088	1988
49	0	15	0.0144	0.0002	1988
48	0	31	0.0202	0.0135	1988
8	0	35	0.0115	0.0341	1988
25	0	20	0.0002	0.0	1989
13	0	49	0.0083	0.0186	1989
45	0	56	0.0	0.0016	1989
13	0	27	0.0083	0.0157	1989
27	0	13	0.0157	0.0083	1989
8	0	35	0.0125	0.0348	1989
20	0	25	0.0	0.0002	1989
48	0	35	0.0182	0.0348	1989
47	0	64	0.0012	0.008	1989
50	0	83	0.0005	0.0019	1989
83	0	50	0.0019	0.0005	1989
35	0	8	0.0348	0.0125	1989
64	0	47	0.008	0.0012	1989
35	0	48	0.0348	0.0182	1989
36	0	66	0.0043	0.0003	1989
49	0	13	0.0186	0.0083	1989
56	0	45	0.0016	0.0	1989
66	0	36	0.0003	0.0043	1989
25	0	20	0.0031	0.0025	1990
50	0	83	0.0006	0.0027	1990
66	0	36	0.0002	0.0057	1990
39	0	26	0.0011	0.0099	1990
83	0	50	0.0027	0.0006	1990
26	0	39	0.0099	0.0011	1990
20	0	25	0.0025	0.0031	1990
13	0	27	0.008	0.0187	1990
27	0	13	0.0187	0.008	1990
36	0	66	0.0057	0.0002	1990
45	0	56	0.0009	0.0074	1990
56	0	45	0.0074	0.0009	1990
20	0	25	0.0043	0.0046	1991
76	0	85	0.0017	0.0034	1991
45	0	56	0.0015	0.0101	1991
89	0	84	0.012	0.0023	1991
66	0	36	0.0006	0.0091	1991
25	0	20	0.0046	0.0043	1991
4	0	72	0.0043	0.0018	1991
72	0	4	0.0018	0.0043	1991
49	0	52	0.0278	0.0575	1991
84	0	89	0.0023	0.012	1991
36	0	66	0.0091	0.0006	1991
17	0	53	0.0001	0.0	1991
52	0	49	0.0575	0.0278	1991
85	0	76	0.0034	0.0017	1991
53	0	17	0.0	0.0001	1991
56	0	45	0.0101	0.0015	1991
15	0	12	0.0019	0.0236	1992
25	0	20	0.0091	0.0075	1992
26	0	39	0.0102	0.0028	1992
39	0	26	0.0028	0.0102	1992
12	0	15	0.0236	0.0019	1992
20	0	25	0.0075	0.0091	1992
31	0	48	0.0234	0.0273	1992
56	0	45	0.0088	0.0009	1992
45	0	56	0.0009	0.0088	1992
